shoe_name,release_date,size,avg_price_tw_b,total_volume_tw_b,avg_price_ow_b,total_volume_ow_b,avg_price_rs,total_volume_rs,avg_price_ow_a,total_volume_ow_a,avg_price_tw_a,total_volume_tw_a,avg_price_om_a,total_volume_om_a,avg_price_tm_a,total_volume_tm_a,avg_price_sm_a,total_volume_sm_a
Nike Dunk High Syracuse (W) (2021),2021-03-10,9.5W,0.0,1,223.66666666666666,3,218.6,5,206.35593220338984,59,178.54545454545453,33,187.27397260273972,73,223.8840579710145,138,195.47619047619048,189
Nike Dunk High Syracuse (W) (2021),2021-03-10,10W,0.0,1,0.0,1,211.5,4,206.79591836734693,49,174.93939393939394,33,190.6578947368421,76,210.21678321678323,143,190.0871794871795,195
Nike Dunk High Syracuse (W) (2021),2021-03-10,10.5W,0.0,1,0.0,1,210.6,5,193.24,50,181.5151515151515,33,197.3684210526316,76,199.3450704225352,142,206.71134020618555,194
Nike Dunk High Syracuse (W) (2021),2021-03-10,11W,0.0,1,0.0,1,208.0,5,202.14,50,176.4848484848485,33,198.39473684210526,76,206.00704225352112,142,197.1958762886598,194
Nike Dunk High Syracuse (W) (2021),2021-03-10,11.5W,0.0,1,0.0,1,231.0,1,201.5,30,193.25714285714287,35,198.873417721519,79,211.12,150,206.57073170731707,205
Nike Dunk High Syracuse (W) (2021),2021-03-10,12W,0.0,1,0.0,1,211.33333333333334,3,194.3793103448276,29,196.54285714285714,35,204.55,80,213.2281879194631,149,209.7156862745098,204
Nike Dunk High fragment design Beijing (2021),2021-06-05,4,0.0,1,0.0,1,212.6,15,182.52511415525115,219,161.89453125,256,153.0,10,0.0,1,0.0,1
Nike Dunk High fragment design Beijing (2021),2021-06-05,4.5,0.0,1,0.0,1,246.0344827586207,29,226.76833976833976,259,164.1813725490196,204,155.0,8,0.0,1,0.0,1
Nike Dunk High fragment design Beijing (2021),2021-06-05,5,0.0,1,0.0,1,214.46153846153845,26,273.4035087719298,285,163.63186813186815,182,160.0,7,0.0,1,0.0,1
Nike Dunk High fragment design Beijing (2021),2021-06-05,5.5,0.0,1,421.0,6,243.56521739130434,23,281.3102310231023,303,167.12962962962962,162,155.0,6,0.0,1,0.0,1
