shoe_name,release_date,size,avg_price_tw_b,total_volume_tw_b,avg_price_ow_b,total_volume_ow_b,avg_price_rs,total_volume_rs,avg_price_ow_a,total_volume_ow_a,avg_price_tw_a,total_volume_tw_a,avg_price_om_a,total_volume_om_a,avg_price_tm_a,total_volume_tm_a,avg_price_sm_a,total_volume_sm_a
Jordan 1 Retro High Obsidian UNC,2019-08-31,10,372.45454545454544,11,409.0,5,273.0,1,288.3333333333333,9,266.2,5,262.5833333333333,12,246.5909090909091,22,267.7011494252874,87
Jordan 1 Retro High Obsidian UNC,2019-08-31,10.5,320.25,8,362.4,5,236.0,1,256.3333333333333,9,226.83333333333334,6,226.36363636363637,11,213.5909090909091,22,245.97752808988764,89
Jordan 1 Retro High Obsidian UNC,2019-08-31,11,300.8888888888889,9,337.0,5,224.0,1,239.33333333333334,9,212.8,5,206.25,12,199.5,22,239.8068181818182,88
Jordan 1 Retro High Obsidian UNC,2019-08-31,11.5,265.0,8,326.8,5,219.0,1,239.33333333333334,9,202.16666666666666,6,196.54545454545453,11,192.77272727272728,22,228.98876404494382,89
Jordan 1 Retro High Obsidian UNC,2019-08-31,12,266.7142857142857,7,315.0,5,0.0,1,230.45454545454547,11,196.0,5,189.5,12,186.77272727272728,22,220.0681818181818,88
Jordan 1 Retro High Obsidian UNC,2019-08-31,12.5,300.3888888888889,18,286.8,5,230.0,1,237.66666666666666,9,200.0,5,200.16666666666666,12,198.9047619047619,21,234.8505747126437,87
Jordan 1 Retro High Obsidian UNC,2019-08-31,13,270.625,8,270.4,5,203.0,1,214.44444444444446,9,184.6,5,178.08333333333334,12,172.5909090909091,22,198.13636363636363,88
Jordan 1 Retro High Obsidian UNC,2019-08-31,14,0.0,1,300.0,5,204.0,1,232.0,9,179.66666666666666,6,179.5,12,167.8181818181818,22,188.01111111111112,90
Jordan 1 Retro High Obsidian UNC,2019-08-31,15,0.0,1,0.0,1,189.0,1,204.4,10,168.6,5,160.0,12,155.47826086956522,23,161.8111111111111,90
Jordan 1 Retro High Obsidian UNC,2019-08-31,16,300.0,2,300.0,5,0.0,1,243.0909090909091,11,173.0,5,161.75,12,145.95454545454547,22,172.04494382022472,89
Jordan 1 Retro High Obsidian UNC,2019-08-31,17,0.0,1,0.0,1,194.0,1,195.5,4,141.83333333333334,6,142.91666666666666,12,136.91304347826087,23,133.36263736263737,91
Jordan 1 Retro High Obsidian UNC,2019-08-31,18,0.0,1,0.0,1,206.0,1,181.75,4,156.16666666666666,6,134.66666666666666,12,132.2173913043478,23,138.01098901098902,91
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,3.5,0.0,1,0.0,1,0.0,1,403.9583333333333,24,353.0357142857143,28,379.57142857142856,63,394.7226890756302,119,393.390977443609,266
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,4,0.0,1,600.0,1,575.6666666666666,3,564.1020408163265,49,441.61538461538464,26,456.95,60,362.7567567567568,111,345.488,250
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,4.5,0.0,1,0.0,1,503.75,4,468.25,24,429.85185185185185,27,452.8095238095238,63,417.49152542372883,118,377.0530303030303,264
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,5,0.0,1,552.6,25,511.6666666666667,3,511.59574468085106,47,428.8333333333333,24,415.17543859649123,57,384.6448598130841,107,349.73839662447256,237
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,5.5,0.0,1,525.0,19,492.6666666666667,3,492.93617021276594,47,413.36,25,414.2241379310345,58,369.9626168224299,107,346.2033195020747,241
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,6,0.0,1,505.0,5,482.6666666666667,3,504.0625,48,420.84615384615387,26,384.2542372881356,59,359.0900900900901,111,345.3991935483871,248
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,6.5,600.0,18,600.0,24,503.0,3,503.8,45,403.3333333333333,24,401.5272727272727,55,388.27450980392155,102,337.49344978165936,229
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,7,0.0,1,815.2,15,514.3333333333334,3,545.7916666666666,48,413.28,25,407.8448275862069,58,370.07339449541286,109,354.8471074380165,242
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,7.5,0.0,1,0.0,1,522.25,4,534.2608695652174,46,457.5769230769231,26,441.53333333333336,60,411.4513274336283,113,375.60956175298804,251
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,8,0.0,1,0.0,1,527.0,4,585.9166666666666,48,530.1538461538462,26,511.68333333333334,60,454.3392857142857,112,435.064,250
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,8.5,0.0,1,714.8666666666667,15,515.75,4,565.8723404255319,47,516.36,25,508.3448275862069,58,463.4403669724771,109,426.37603305785126,242
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,9,673.5,2,858.04,25,508.75,4,583.8222222222222,45,514.32,25,511.75,56,467.7358490566038,106,428.0084388185654,237
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,9.5,0.0,1,1380.0,16,550.0,3,601.4791666666666,48,554.24,25,522.4137931034483,58,493.1296296296296,108,455.2603305785124,242
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,10,680.0,14,743.76,25,549.3333333333334,3,567.1555555555556,45,525.875,24,519.8363636363637,55,494.3592233009709,103,457.7748917748918,231
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,10.5,1676.0,24,1100.9583333333333,24,544.0,3,567.6590909090909,44,527.8333333333334,24,531.3888888888889,54,503.2970297029703,101,451.46902654867256,226
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,11,0.0,1,748.9130434782609,23,535.3333333333334,3,562.1489361702128,47,513.32,25,522.2456140350877,57,497.3301886792453,106,465.40167364016736,239
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,11.5,0.0,1,751.4444444444445,18,533.25,4,600.7608695652174,46,541.6153846153846,26,556.4912280701755,57,530.7592592592592,108,482.2572614107884,241
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,12,650.0,1,668.88,25,522.0,4,559.1111111111111,45,513.52,25,527.6140350877193,57,502.00943396226415,106,476.9198312236287,237
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,12.5,0.0,1,0.0,1,513.0,4,515.0222222222222,45,420.03846153846155,26,402.0327868852459,61,415.17857142857144,112,395.56349206349205,252
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,13,0.0,1,846.3636363636364,22,509.0,4,521.6521739130435,46,408.72,25,400.6140350877193,57,388.7289719626168,107,367.27196652719664,239
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,14,0.0,1,0.0,1,492.25,4,476.34375,32,425.77777777777777,27,415.9516129032258,62,393.3534482758621,116,387.42084942084944,259
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,15,0.0,1,0.0,1,691.5,4,477.7241379310345,29,397.55555555555554,27,363.4516129032258,62,363.9059829059829,117,365.8773946360153,261
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,None,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,400.0,68,400.0,134,400.0,298
Jordan 1 Retro High 85 Neutral Grey,2021-02-10,None,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,345.0,46,345.0,141,345.0,313
Jordan 1 Retro High Bloodline,2019-11-29,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan 1 Retro High Bloodline,2019-11-29,None,0.0,1,0.0,1,0.0,1,0.0,1,200.0,6,200.0,14,200.0,27,200.0,108
